subject,0.6+0.5B_C2C_longbench_e_1850,0.6+0.5B_cachejpeg_rosetta,metric
2wikimqa_e,0.26896736222578915,0.2489299090422686,f1
hotpotqa_e,0.3413551800648575,0.3387913701605902,f1
multifieldqa_en_e,0.34140805603161783,0.36195116802545735,f1
qasper_e,0.2940093810888957,0.3318849827574335,f1
triviaqa_e,0.7109148076901443,0.6833811436221074,f1
lcc_e,0.07142857142857142,0.023809523809523808,em
passage_count_e,0.06666666666666667,0.016666666666666666,em
passage_retrieval_en_e,0.7205882352941176,0.7205882352941176,em
repobench-p_e,0.0136986301369863,0.0136986301369863,em
trec_e,0.5072463768115942,0.5652173913043478,em
gov_report_e,0.11042745188331471,0.12347565254702214,rouge_l
multi_news_e,0.0710156660593558,0.061810674139704806,rouge_l
samsum_e,0.24369201220382594,0.2481790840042271,rouge_l
