subject,length_bucket,metric,num_samples,correctness_score,aggregate_compression_factor,aggregate_space_saving_ratio,mean_sample_compression_factor,avg_encode_seconds,avg_decode_seconds,total_original_kv_bytes,total_payload_bytes
2wikimqa,4k-8k,f1,3,0.6666666666666666,6.250052533948826,0.8400013448577859,6.246928615470783,0.09519193498029684,0.09023464432296653,187588608,30013925
2wikimqa,ALL,f1,3,0.6666666666666666,6.250052533948826,0.8400013448577859,6.246928615470783,0.09519193498029684,0.09023464432296653,187588608,30013925
hotpotqa,0-4k,f1,1,1.0,6.072753317843092,0.8353300475647877,6.072753317843092,0.0480839210213162,0.03117296297568828,14659584,2413993
hotpotqa,4k-8k,f1,2,0.0,6.269578032251912,0.84049963253415,6.268097763626725,0.10642547148745507,0.10099750800873153,145428480,23195896
hotpotqa,ALL,f1,3,0.3333333333333333,6.251025297298243,0.8400262433056845,6.202982948365514,0.08697828799874212,0.07772265966438378,160088064,25609889
lcc,0-4k,em,2,0.5,6.557372953860594,0.847499904758161,6.4719919044314125,0.06533379902248271,0.04524333149311133,65937408,10055461
lcc,ALL,em,2,0.5,6.557372953860594,0.847499904758161,6.4719919044314125,0.06533379902248271,0.04524333149311133,65937408,10055461
multifieldqa_en,0-4k,f1,1,1.0,6.157992386026884,0.837609412725306,6.157992386026884,0.10178419703152031,0.0398664620006457,21417984,3478079
multifieldqa_en,ALL,f1,1,1.0,6.157992386026884,0.837609412725306,6.157992386026884,0.10178419703152031,0.0398664620006457,21417984,3478079
passage_count,0-4k,em,1,0.0,6.312589679545092,0.8415864089439655,6.312589679545092,0.06738119799410924,0.04785887600155547,32071680,5080590
passage_count,ALL,em,1,0.0,6.312589679545092,0.8415864089439655,6.312589679545092,0.06738119799410924,0.04785887600155547,32071680,5080590
passage_retrieval_en,4k-8k,em,1,0.0,6.348001568538629,0.8424701082375111,6.348001568538629,0.09028551098890603,0.08173645799979568,59977728,9448285
passage_retrieval_en,ALL,em,1,0.0,6.348001568538629,0.8424701082375111,6.348001568538629,0.09028551098890603,0.08173645799979568,59977728,9448285
repobench-p,8k+,em,1,0.0,6.030021865664222,0.8341631220785221,6.030021865664222,0.17236476601101458,0.17026168701704592,127168512,21089229
repobench-p,ALL,em,1,0.0,6.030021865664222,0.8341631220785221,6.030021865664222,0.17236476601101458,0.17026168701704592,127168512,21089229
samsum,0-4k,rouge_l,2,0.26666666666666666,6.446549709502078,0.8448782612308068,6.4439525187366336,0.0694630439975299,0.05243149751913734,65089536,10096802
samsum,4k-8k,rouge_l,2,0.31974921630094044,6.441366785791174,0.8447534454634891,6.441737411781594,0.10149698701570742,0.0992889020126313,142209024,22077461
samsum,ALL,rouge_l,4,0.2932079414838036,6.442993270739411,0.844792636282664,6.4428449652591135,0.08548001550661866,0.07586019976588432,207298560,32174263
trec,0-4k,em,1,0.0,6.000554316409086,0.833348729588964,6.000554316409086,0.052772831986658275,0.03593641798943281,18640896,3106529
trec,4k-8k,em,1,1.0,6.236231982906416,0.8396467606174671,6.236231982906416,0.0882181900087744,0.0744967429782264,56414208,9046201
trec,ALL,em,2,0.5,6.175987123880807,0.8380825639785936,6.11839314965775,0.07049551099771634,0.0552165804838296,75055104,12152730
triviaqa,4k-8k,f1,2,0.8333333333333333,6.264854363755719,0.8403793700639979,6.267998807670802,0.0875807470001746,0.0737444894912187,107163648,17105529
triviaqa,ALL,f1,2,0.8333333333333333,6.264854363755719,0.8403793700639979,6.267998807670802,0.0875807470001746,0.0737444894912187,107163648,17105529
