dataset,samples,zero_score,original_score,original_minus_zero_score,zero_tokens,original_tokens,original_minus_zero_tokens
2wikimqa_e,89,0.24671625,0.21745270,-0.02926355,99.989,123.618,23.629
gov_report_e,90,0.13695153,0.12754775,-0.00940378,1546.400,1655.678,109.278
hotpotqa_e,93,0.29162198,0.28245662,-0.00916535,118.452,162.495,44.043
lcc_e,84,0.05952381,0.07142857,0.01190476,290.440,272.905,-17.536
multi_news_e,75,0.09637159,0.09918252,0.00281093,1264.187,1222.787,-41.400
multifieldqa_en_e,34,0.37572151,0.38917146,0.01344994,198.353,138.294,-60.059
passage_count_e,60,0.01666667,0.00000000,-0.01666667,980.783,985.283,4.500
passage_retrieval_en_e,68,0.44117647,0.39705882,-0.04411765,282.985,219.221,-63.765
qasper_e,48,0.31988084,0.30429222,-0.01558862,180.396,223.625,43.229
repobench-p_e,73,0.04109589,0.04109589,0.00000000,405.329,346.014,-59.315
samsum_e,81,0.20217645,0.20215631,-0.00002014,344.284,320.519,-23.765
trec_e,69,0.24637681,0.21739130,-0.02898551,839.406,864.797,25.391
triviaqa_e,83,0.43024965,0.44425956,0.01400991,720.566,695.843,-24.723
