_id,dataset,length_bucket,zero_gen_tokens,original_gen_tokens,original_minus_zero_tokens,zero_score,original_score,original_minus_zero_score,zero_copy_ratio,original_copy_ratio,zero_explanation,original_explanation,zero_empty_or_missing,original_empty_or_missing
004f56357e6d3851026b1a760360d2edc0e23d1d997bfea8,2wikimqa_e,4k-8k,7,7,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
00e1a8b8cfeaabd963a2c0596046c334791e0d0b4ce7b99d,gov_report_e,8k+,2048,2048,0,0.16555270,0.16555270,0.00000000,0.00000000,0.00000000,1,1,0,0
0108dc554454ee9588a103ed696da4a5b64baabaf365c0c7,hotpotqa_e,4k-8k,6,5,-1,1.00000000,1.00000000,0.00000000,0.50000000,0.50000000,0,0,0,0
016acda6d2273fce43a10dc6e2ad33d83b7ffccc9151ac09,lcc_e,0-4k,15,15,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
01a9ec56805c938ec7ad3cc00bd2d02b8347194fd7e6a0a4,qasper_e,4k-8k,7,3,-4,0.37500000,0.16666667,-0.20833333,0.20000000,0.00000000,0,0,0,0
01f2daeaf538f2fe512ea44ea999e66a1b190a1b1d283ddf,2wikimqa_e,8k+,17,17,0,0.00000000,0.00000000,0.00000000,0.63636364,0.14285714,0,0,0,0
0244bc8e634ffd31a57a2d1489838de1d92750cf2823b10f,gov_report_e,0-4k,152,2048,1896,0.12589413,0.11544304,-0.01045110,0.00000000,0.00000000,0,0,0,0
02513c860fc404c6b1699996b4050baf146fb6922fb8b365,multi_news_e,8k+,2048,317,-1731,0.03497164,0.16141732,0.12644568,0.00000000,0.00000000,0,0,0,0
028d0d3411fcc9c1eb801adb04137e71976b26af8c29d172,passage_retrieval_en_e,8k+,2048,2048,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,0,0
02fa887706420d04baac1896a028bd74ff94ed29cd375ad1,lcc_e,8k+,2048,2048,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
034a7eee7ac4bfb7d4e20328058e5e0853b9b86ff280a960,multi_news_e,0-4k,236,218,-18,0.28125000,0.28215768,0.00090768,0.00000000,0.00000000,0,0,0,0
03cceaae7e78f9d216abf00dd46b4252a23ef664a49a90af,lcc_e,8k+,9,2048,2039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
047e72df3b20b45f9d12a1e9ebde2f68543874f9dc47408b,trec_e,8k+,9,9,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
048c12357868d908dfb979ef3c5c6cf7f6d85053acf1cac4,multifieldqa_en_e,4k-8k,29,29,0,0.85000000,0.85000000,0.00000000,0.08695652,0.08695652,1,1,0,0
04c03d81c1505c2adfec59e4eda1cde76fe908827c6a9117,triviaqa_e,8k+,2048,2048,0,0.00195122,0.00292398,0.00097276,1.00000000,1.00000000,1,1,0,0
04edae7bf8afca9405e313dc9e94fd4388588df9b2dc6f05,gov_report_e,0-4k,2048,2048,0,0.03431101,0.03856454,0.00425353,0.00000000,0.00000000,0,0,0,0
052c1aac57e79fd7527edae9cd17907b8f82cdd93199eebd,passage_count_e,8k+,3,4,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
0561733d60198a9ec4ef0dc11f3f7c410f6d98a262c51846,gov_report_e,8k+,2048,2048,0,0.07602065,0.06011664,-0.01590400,0.00000000,0.00000000,1,1,0,0
